season,date,home_team,away_team,home_score,away_score,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,result,home_elo,away_elo,elo_diff,hpg,apg,hpl5,apl5,hpl5_home,apl5_away,home_wins_last_5,home_draws_last_5,home_losses_last_5,away_wins_last_5,away_draws_last_5,away_losses_last_5,home_goals_scored_last_5,home_goals_conceded_last_5,away_goals_scored_last_5,away_goals_conceded_last_5,home_yellows_last_5,away_yellows_last_5,home_reds_last_5,away_reds_last_5,home_xg,away_xg,home_ppda,away_ppda,home_deep_completions,away_deep_completions
1415,2014-10-05,Fiorentina,Inter,3.0,0.0,2,3,0,0,H,1725.84,1692.23,33.61,3,0,6,6,2,2,1,3,1,2,2,1,2.0,3.0,11.0,5.0,13,8,0,2,2.12016,0.617229,11.541666666666666,8.0,3.0,7.0
1415,2014-10-05,Lazio,Sassuolo,3.0,2.0,3,2,1,1,H,1655.24,1534.81,120.43,3,0,6,6,3,1,2,0,3,0,3,2,8.0,5.0,1.0,9.0,15,13,1,1,1.60341,1.67343,7.0,9.0,7.0,6.0
1415,2014-10-18,Roma,Chievo,3.0,0.0,1,1,0,0,H,1809.0,1551.39,257.61,3,0,12,6,9,3,4,0,1,1,1,3,9.0,4.0,5.0,8.0,9,14,1,0,1.39349,0.324071,7.142857142857143,17.035714285714285,6.0,1.0
1415,2014-10-18,Sassuolo,Juventus,1.0,1.0,2,2,0,1,D,1530.85,1925.38,-394.53,1,1,2,5,2,9,0,2,3,5,0,0,2.0,11.0,12.0,2.0,12,10,2,1,0.761956,1.94022,9.461538461538462,6.0,4.0,15.0
1415,2014-10-19,Verona,Milan,1.0,3.0,3,1,1,0,A,1616.07,1736.28,-120.21,0,3,10,4,7,5,3,1,1,2,2,1,6.0,5.0,10.0,8.0,10,11,0,2,1.52745,2.17899,10.695652173913045,9.423076923076923,4.0,5.0
1415,2014-10-19,Inter,Napoli,2.0,2.0,2,3,0,0,D,1682.15,1777.83,-95.68,1,1,7,4,6,6,2,1,2,2,1,2,11.0,8.0,6.0,6.0,10,11,1,0,1.55031,1.09733,9.08695652173913,10.44,6.0,4.0
1415,2014-10-19,Fiorentina,Lazio,0.0,2.0,2,5,0,0,A,1735.92,1659.2,76.72,0,3,9,6,5,3,2,3,0,3,0,2,5.0,1.0,10.0,4.0,11,15,0,2,0.570608,1.86,7.76,13.38095238095238,4.0,4.0
1415,2014-10-19,Palermo,Cesena,2.0,1.0,5,4,0,1,H,1558.82,1487.09,71.73,3,0,2,5,2,1,0,2,3,0,3,2,5.0,13.0,4.0,10.0,14,15,0,0,0.995603,1.13078,5.805555555555555,10.333333333333334,6.0,2.0
1415,2014-10-19,Atalanta,Parma,1.0,0.0,2,3,0,0,H,1582.24,1637.42,-55.18,3,0,3,9,1,3,1,0,4,1,0,4,2.0,8.0,11.0,15.0,13,14,0,2,1.37374,0.306658,10.22222222222222,14.352941176470589,4.0,5.0
1415,2014-10-19,Torino,Udinese,1.0,0.0,3,2,0,0,H,1640.44,1649.29,-8.85,3,0,4,7,2,3,1,1,3,3,1,1,4.0,7.0,7.0,5.0,15,8,2,0,1.39322,0.920075,11.863636363636363,8.625,7.0,5.0
1415,2014-10-19,Cagliari,Sampdoria,2.0,2.0,3,6,0,1,D,1571.73,1610.68,-38.95,1,1,3,9,0,5,1,0,4,4,1,0,6.0,8.0,6.0,1.0,13,13,0,0,1.51712,2.72172,6.888888888888889,12.72222222222222,3.0,3.0
