league,season,game,league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,away_points,away_expected_points,away_goals,away_xg,away_np_xg,away_np_xg_difference,away_ppda,away_deep_completions,home_points,home_expected_points,home_goals,home_xg,home_np_xg,home_np_xg_difference,home_ppda,home_deep_completions
ITA-Serie A,1415,2014-10-19 Atalanta-Parma,2,2014,5084,2014-10-19 14:00:00,107,204,Atalanta,Parma,PAR,ATA,0,0.45089999999999997,0,0.306658,0.306658,-1.067082,14.352941176470589,5,3,2.3004,1,1.37374,1.37374,1.067082,10.222222222222221,4
ITA-Serie A,1415,2014-10-19 Cagliari-Sampdoria,2,2014,5085,2014-10-19 14:00:00,116,102,Cagliari,Sampdoria,SAM,CAG,1,2.3491,2,2.72172,2.72172,1.965895,12.722222222222221,3,1,0.466,2,1.51712,0.755825,-1.965895,6.888888888888889,3
ITA-Serie A,1415,2014-10-19 Fiorentina-Lazio,2,2014,5081,2014-10-19 11:30:00,110,96,Fiorentina,Lazio,LAZ,FIO,3,2.5032,2,1.86,1.86,1.289392,13.380952380952381,4,0,0.3318,0,0.570608,0.570608,-1.289392,7.76,4
ITA-Serie A,1415,2014-10-19 Inter-Napoli,2,2014,5087,2014-10-19 19:45:00,106,105,Inter,Napoli,NAP,INT,1,0.9635,2,1.09733,1.09733,-0.45298000000000016,10.44,4,1,1.7434999999999998,2,1.55031,1.55031,0.45298000000000016,9.08695652173913,6
ITA-Serie A,1415,2014-10-19 Palermo-Cesena,2,2014,5082,2014-10-19 14:00:00,100,203,Palermo,Cesena,CES,PAL,0,1.5423,1,1.13078,0.369483,-0.62612,10.333333333333334,2,3,1.1196000000000002,2,0.995603,0.995603,0.62612,5.805555555555555,6
ITA-Serie A,1415,2014-10-19 Torino-Udinese,2,2014,5086,2014-10-19 14:00:00,113,99,Torino,Udinese,UDI,TOR,0,1.0102,0,0.920075,0.920075,-0.4731449999999999,8.625,5,3,1.7070999999999998,1,1.39322,1.39322,0.4731449999999999,11.863636363636363,7
ITA-Serie A,1415,2014-10-19 Verona-AC Milan,2,2014,5083,2014-10-19 14:00:00,94,111,Verona,AC Milan,MIL,VER,3,1.9176,3,2.17899,2.17899,0.6515400000000002,9.423076923076923,5,0,0.8361,1,1.52745,1.52745,-0.6515400000000002,10.695652173913043,4
ITA-Serie A,1415,2014-10-20 Genoa-Empoli,2,2014,5088,2014-10-20 19:45:00,101,108,Genoa,Empoli,EMP,GEN,1,2.2633,1,1.57434,1.57434,0.9367420000000001,8.91304347826087,6,1,0.5041,1,0.637598,0.637598,-0.9367420000000001,8.3125,2
ITA-Serie A,1415,2014-10-25 Empoli-Cagliari,2,2014,5089,2014-10-25 14:00:00,108,116,Empoli,Cagliari,CAG,EMP,3,2.3192,4,1.4998,0.738504,0.28197500000000003,11.586206896551724,7,0,0.45530000000000004,0,0.456529,0.456529,-0.28197500000000003,12.409090909090908,6
ITA-Serie A,1415,2014-10-25 Parma-Sassuolo,2,2014,5090,2014-10-25 17:00:00,204,104,Parma,Sassuolo,SAS,PAR,3,2.1202,3,1.64283,1.64283,0.878876,11.882352941176471,4,0,0.6349,1,0.763954,0.763954,-0.878876,9.227272727272727,4
ITA-Serie A,1415,2014-10-25 Sampdoria-Roma,2,2014,5091,2014-10-25 19:45:00,102,95,Sampdoria,Roma,ROM,SAM,1,1.3159,0,1.23266,1.23266,0.00778000000000012,8.05,5,1,1.3801,0,1.22488,1.22488,-0.00778000000000012,15.3,4
ITA-Serie A,1415,2014-10-26 AC Milan-Fiorentina,2,2014,5098,2014-10-26 19:45:00,111,110,AC Milan,Fiorentina,FIO,MIL,1,0.8028,1,0.359683,0.359683,-0.49760400000000005,8.15625,5,1,1.8144,1,0.857287,0.857287,0.49760400000000005,11.666666666666666,4
ITA-Serie A,1415,2014-10-26 Cesena-Inter,2,2014,5097,2014-10-26 17:00:00,203,106,Cesena,Inter,INT,CES,3,2.4828,1,2.06734,1.30604,0.6603160000000001,5.653846153846154,4,0,0.3537,0,0.645724,0.645724,-0.6603160000000001,10.935483870967742,3
ITA-Serie A,1415,2014-10-26 Chievo-Genoa,2,2014,5094,2014-10-26 14:00:00,109,101,Chievo,Genoa,GEN,CHI,3,2.3103000000000002,2,2.38033,1.61903,0.41537,4.03030303030303,9,0,0.5019,1,1.20366,1.20366,-0.41537,9.689655172413794,6
ITA-Serie A,1415,2014-10-26 Juventus-Palermo,2,2014,5093,2014-10-26 14:00:00,98,100,Juventus,Palermo,PAL,JUV,0,0.2866,0,0.1661,0.1661,-1.42745,19.55,1,3,2.5216,2,1.59355,1.59355,1.42745,6.67741935483871,12
ITA-Serie A,1415,2014-10-26 Lazio-Torino,2,2014,5096,2014-10-26 17:00:00,96,113,Lazio,Torino,TOR,LAZ,0,0.6596,1,0.495408,0.495408,-0.6762319999999999,12.043478260869565,4,3,2.0414,2,1.17164,1.17164,0.6762319999999999,6.818181818181818,9
ITA-Serie A,1415,2014-10-26 Napoli-Verona,2,2014,5095,2014-10-26 17:00:00,105,94,Napoli,Verona,VER,NAP,0,0.0299,2,0.796178,0.796178,-3.055982,23.583333333333332,5,3,2.9516,6,4.61346,3.85216,3.055982,6.851851851851852,18
ITA-Serie A,1415,2014-10-26 Udinese-Atalanta,2,2014,5092,2014-10-26 14:00:00,99,107,Udinese,Atalanta,ATA,UDI,0,0.9664,0,0.513206,0.513206,-0.374818,8.45,6,3,1.6615000000000002,2,0.888024,0.888024,0.374818,9.964285714285714,7
ITA-Serie A,1415,2014-10-28 Sassuolo-Empoli,2,2014,5099,2014-10-28 19:45:00,104,108,Sassuolo,Empoli,EMP,SAS,0,0.5379,1,1.83984,1.83984,-0.7042900000000001,8.121212121212121,4,3,2.2910999999999997,3,3.30543,2.54413,0.7042900000000001,11.0,5
ITA-Serie A,1415,2014-10-29 Atalanta-Napoli,2,2014,5104,2014-10-29 19:45:00,107,105,Atalanta,Napoli,NAP,ATA,1,2.7264,1,2.55253,1.79123,1.0351780000000002,6.611111111111111,9,1,0.1668,1,0.756052,0.756052,-1.0351780000000002,13.961538461538462,0
ITA-Serie A,1415,2014-10-29 Cagliari-AC Milan,2,2014,5105,2014-10-29 19:45:00,116,111,Cagliari,AC Milan,MIL,CAG,1,0.37550000000000006,1,0.499723,0.499723,-1.428797,9.2,8,1,2.4428,1,1.92852,1.92852,1.428797,11.92,12
ITA-Serie A,1415,2014-10-29 Fiorentina-Udinese,2,2014,5106,2014-10-29 19:45:00,110,99,Fiorentina,Udinese,UDI,FIO,0,0.0451,0,0.26723,0.26723,-2.56466,14.705882352941176,3,3,2.9209,3,2.83189,2.83189,2.56466,7.892857142857143,9
ITA-Serie A,1415,2014-10-29 Genoa-Juventus,2,2014,5107,2014-10-29 19:45:00,101,98,Genoa,Juventus,JUV,GEN,0,1.3336000000000001,0,1.1507,1.1507,0.09335000000000004,5.275862068965517,8,3,1.288,1,1.05735,1.05735,-0.09335000000000004,7.52,4
ITA-Serie A,1415,2014-10-29 Inter-Sampdoria,2,2014,5101,2014-10-29 19:45:00,106,102,Inter,Sampdoria,SAM,INT,0,0.2464,0,0.529139,0.529139,-1.0273109999999999,10.15625,2,3,2.629,1,2.31775,1.55645,1.0273109999999999,6.703703703703703,10
ITA-Serie A,1415,2014-10-29 Palermo-Chievo,2,2014,5102,2014-10-29 19:45:00,100,109,Palermo,Chievo,CHI,PAL,0,0.5529,0,0.444825,0.444825,-0.981155,6.838709677419355,3,3,2.1963,1,1.42598,1.42598,0.981155,6.814814814814815,6
ITA-Serie A,1415,2014-10-29 Roma-Cesena,2,2014,5103,2014-10-29 19:45:00,95,203,Roma,Cesena,CES,ROM,0,0.0388,0,0.167116,0.167116,-2.769104,25.333333333333332,2,3,2.9341,2,2.93622,2.93622,2.769104,7.764705882352941,10
ITA-Serie A,1415,2014-10-29 Torino-Parma,2,2014,5100,2014-10-29 19:45:00,113,204,Torino,Parma,PAR,TOR,0,0.7958999999999999,0,0.694268,0.694268,-0.639952,10.5,6,3,1.9149000000000003,1,1.33422,1.33422,0.639952,15.75,7
ITA-Serie A,1415,2014-10-30 Verona-Lazio,2,2014,5108,2014-10-30 19:45:00,94,96,Verona,Lazio,LAZ,VER,1,0.6073999999999999,1,0.888443,0.888443,-0.098167,7.5,4,1,2.1188,1,1.74791,0.98661,0.098167,11.208333333333334,1
